joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,2.000,2.000,0.000,0,0,240,0,240,1.0000
SPINE_NAVAL,2.000,2.000,0.000,0,0,240,0,240,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,240,0,240,1.0000
NECK,2.000,2.000,0.000,0,0,240,0,240,1.0000
CLAVICLE_LEFT,2.000,2.000,0.000,0,0,240,0,240,1.0000
SHOULDER_LEFT,2.000,2.000,0.000,0,0,240,0,240,1.0000
ELBOW_LEFT,1.000,1.000,0.000,0,240,0,0,240,0.0000
WRIST_LEFT,1.000,1.000,0.000,0,240,0,0,240,0.0000
CLAVICLE_RIGHT,1.000,1.000,0.000,0,240,0,0,240,0.0000
SHOULDER_RIGHT,1.000,1.000,0.000,0,240,0,0,240,0.0000
ELBOW_RIGHT,1.000,1.000,0.000,0,240,0,0,240,0.0000
WRIST_RIGHT,2.000,2.000,0.000,0,0,240,0,240,1.0000
HIP_LEFT,2.000,2.000,0.000,0,0,240,0,240,1.0000
KNEE_LEFT,2.000,2.000,0.000,0,0,240,0,240,1.0000
ANKLE_LEFT,1.529,2.000,0.499,0,113,127,0,240,0.5292
FOOT_LEFT,1.521,2.000,0.500,0,115,125,0,240,0.5208
HIP_RIGHT,1.508,2.000,0.500,0,118,122,0,240,0.5083
KNEE_RIGHT,1.512,2.000,0.500,0,117,123,0,240,0.5125
ANKLE_RIGHT,1.387,1.000,0.487,0,147,93,0,240,0.3875
FOOT_RIGHT,1.000,1.000,0.000,0,240,0,0,240,0.0000
HEAD,1.000,1.000,0.000,0,240,0,0,240,0.0000
NOSE,1.000,1.000,0.000,0,240,0,0,240,0.0000
EYE_LEFT,1.971,2.000,0.168,0,7,233,0,240,0.9708
EAR_LEFT,1.029,1.000,0.168,0,233,7,0,240,0.0292
EYE_RIGHT,1.000,1.000,0.000,0,240,0,0,240,0.0000
EAR_RIGHT,1.000,1.000,0.000,0,240,0,0,240,0.0000
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,240,0,240,1.0000
BICEPS_LEFT,2.000,2.000,0.000,0,0,240,0,240,1.0000
WRIST_THUMB_RIGHT,2.000,2.000,0.000,0,0,240,0,240,1.0000
BICEPS_RIGHT,2.000,2.000,0.000,0,0,240,0,240,1.0000
BACK_LEFT,2.000,2.000,0.000,0,0,240,0,240,1.0000
BACK_RIGHT,2.000,2.000,0.000,0,0,240,0,240,1.0000
