frame_index,source_frame_index,body_id,flags,detail,reviewer_decision
0,1,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
1,2,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
2,3,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
3,4,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
4,5,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
5,6,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
6,7,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
7,8,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
8,9,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
9,10,1,low_confidence: RShoulder(conf=1),,
10,11,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
11,12,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
12,13,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
13,14,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
14,15,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
15,16,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
16,17,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
17,18,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
18,19,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
19,20,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
20,21,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
21,22,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
22,23,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
23,24,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
24,25,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
25,26,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
26,27,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
27,28,1,low_confidence: RShoulder(conf=1); high_speed_RShoulder: 3.47m/s; high_speed_RElbow: 3.13m/s,,
28,29,1,high_speed_RShoulder: 4.26m/s; high_speed_RElbow: 3.46m/s; large_jump: SHOULDER_RIGHT moved 0.189m,,
30,31,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
31,32,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
32,33,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
33,34,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
34,35,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
35,36,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
36,37,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
37,38,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
38,39,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
39,40,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
40,41,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
41,42,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
42,43,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
43,44,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
44,45,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
45,46,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
46,47,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
47,48,1,"low_confidence: RShoulder(conf=1), RElbow(conf=1)",,
