prev_frame,curr_frame,mean_jump_m,max_jump_m,max_jump_joint
1,2,0.0299,0.1197,CLAVICLE_RIGHT
2,3,0.0046,0.0191,SHOULDER_RIGHT
3,4,0.0106,0.0564,SHOULDER_RIGHT
4,5,0.0001,0.0007,SHOULDER_RIGHT
5,6,0.0007,0.0053,SHOULDER_RIGHT
6,7,0.0003,0.0025,SHOULDER_RIGHT
7,8,0.0302,0.0941,FOOT_RIGHT
8,9,0.0065,0.0442,SHOULDER_RIGHT
9,10,0.0124,0.046,NOSE
10,11,0.0256,0.0732,NOSE
11,12,0.0015,0.0066,NOSE
12,13,0.0,0.0,NOSE
13,14,0.0085,0.0415,NOSE
14,15,0.0002,0.0008,NOSE
15,16,0.0001,0.0002,NOSE
16,17,0.0,0.0,PELVIS
17,18,0.0,0.0,PELVIS
18,19,0.016,0.0572,NOSE
19,20,0.0004,0.0016,NOSE
20,21,0.0,0.0,PELVIS
21,22,0.0,0.0,NOSE
22,23,0.0,0.0,PELVIS
23,24,0.0135,0.0498,NOSE
24,25,0.0002,0.0007,BICEPS_RIGHT
25,26,0.0,0.0,PELVIS
26,27,0.0019,0.0082,BICEPS_RIGHT
27,28,0.0007,0.0038,BICEPS_RIGHT
28,29,0.0,0.0,BICEPS_RIGHT
29,30,0.0017,0.0062,SHOULDER_RIGHT
30,31,0.0454,0.3529,EAR_RIGHT
31,32,0.0003,0.001,BICEPS_RIGHT
32,33,0.024,0.1333,EAR_RIGHT
33,34,0.0311,0.1075,EAR_RIGHT
34,35,0.0355,0.2205,EAR_RIGHT
35,36,0.0188,0.1539,EAR_RIGHT
36,37,0.0217,0.1118,EAR_RIGHT
37,38,0.0279,0.2134,EAR_RIGHT
38,39,0.0004,0.0022,SHOULDER_RIGHT
39,40,0.0278,0.1499,EAR_LEFT
40,41,0.0394,0.2732,EAR_RIGHT
41,42,0.0091,0.0692,EAR_RIGHT
42,43,0.0241,0.0633,WRIST_LEFT
