frame_index,source_frame_index,body_id,tier,flags,detail,reviewer_decision
1,2,1,WARNING,large_jump: NOSE moved 0.161m,,
52,53,1,WARNING,large_jump: EYE_RIGHT moved 0.169m,,
150,151,1,WARNING,large_jump: HEAD moved 0.209m,,
166,167,1,WARNING,large_jump: HEAD moved 0.173m,,
207,208,1,WARNING,large_jump: EAR_LEFT moved 0.214m,,
209,210,1,WARNING,large_jump: EAR_RIGHT moved 0.187m,,
272,273,1,CRITICAL,CRITICAL_jump: HIP_RIGHT moved 0.895m,,
275,276,1,CRITICAL,CRITICAL_jump: SHOULDER_RIGHT moved 0.365m,,
281,282,1,CRITICAL,CRITICAL_jump: FOOT_LEFT moved 0.348m,,
282,283,1,CRITICAL,CRITICAL_jump: KNEE_LEFT moved 0.324m,,
284,285,1,WARNING,large_jump: KNEE_RIGHT moved 0.177m,,
290,291,1,CRITICAL,CRITICAL_jump: KNEE_RIGHT moved 0.259m,,
308,309,1,WARNING,large_jump: KNEE_LEFT moved 0.212m,,
318,319,1,WARNING,large_jump: NOSE moved 0.162m,,
359,360,1,CRITICAL,CRITICAL_jump: EAR_LEFT moved 0.260m,,
361,362,1,WARNING,large_jump: EAR_RIGHT moved 0.162m,,
365,366,1,WARNING,large_jump: EAR_LEFT moved 0.152m,,
369,370,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.270m,,
454,455,1,WARNING,large_jump: EAR_RIGHT moved 0.191m,,
474,475,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.442m,,
478,479,1,WARNING,large_jump: ELBOW_RIGHT moved 0.193m,,
479,480,1,CRITICAL,CRITICAL_jump: EAR_RIGHT moved 0.288m,,
481,482,1,WARNING,large_jump: EAR_RIGHT moved 0.202m,,
