joint_name,mean_confidence,median_confidence,std_confidence,count_none,count_low,count_medium,count_high,total,reference_valid_ratio
PELVIS,2.000,2.000,0.000,0,0,337,0,337,1.0000
SPINE_NAVAL,2.000,2.000,0.000,0,0,337,0,337,1.0000
SPINE_CHEST,2.000,2.000,0.000,0,0,337,0,337,1.0000
NECK,2.000,2.000,0.000,0,0,337,0,337,1.0000
CLAVICLE_LEFT,1.991,2.000,0.094,0,3,334,0,337,0.9911
SHOULDER_LEFT,1.991,2.000,0.094,0,3,334,0,337,0.9911
ELBOW_LEFT,1.807,2.000,0.395,0,65,272,0,337,0.8071
WRIST_LEFT,1.228,1.000,0.420,0,260,77,0,337,0.2285
CLAVICLE_RIGHT,1.042,1.000,0.200,0,323,14,0,337,0.0415
SHOULDER_RIGHT,1.024,1.000,0.152,0,329,8,0,337,0.0237
ELBOW_RIGHT,1.199,1.000,0.399,0,270,67,0,337,0.1988
WRIST_RIGHT,1.994,2.000,0.077,0,2,335,0,337,0.9941
HIP_LEFT,1.994,2.000,0.077,0,2,335,0,337,0.9941
KNEE_LEFT,1.991,2.000,0.094,0,3,334,0,337,0.9911
ANKLE_LEFT,1.973,2.000,0.161,0,9,328,0,337,0.9733
FOOT_LEFT,1.973,2.000,0.161,0,9,328,0,337,0.9733
HIP_RIGHT,1.967,2.000,0.178,0,11,326,0,337,0.9674
KNEE_RIGHT,1.964,2.000,0.185,0,12,325,0,337,0.9644
ANKLE_RIGHT,1.950,2.000,0.219,0,17,320,0,337,0.9496
FOOT_RIGHT,1.009,1.000,0.094,0,334,3,0,337,0.0089
HEAD,1.000,1.000,0.000,0,337,0,0,337,0.0000
NOSE,1.000,1.000,0.000,0,337,0,0,337,0.0000
EYE_LEFT,1.979,2.000,0.143,0,7,330,0,337,0.9792
EAR_LEFT,1.481,1.000,0.500,0,175,162,0,337,0.4807
EYE_RIGHT,1.107,1.000,0.309,0,301,36,0,337,0.1068
EAR_RIGHT,1.030,1.000,0.170,0,327,10,0,337,0.0297
WRIST_THUMB_LEFT,2.000,2.000,0.000,0,0,337,0,337,1.0000
BICEPS_LEFT,1.979,2.000,0.143,0,7,330,0,337,0.9792
WRIST_THUMB_RIGHT,1.976,2.000,0.152,0,8,329,0,337,0.9763
BICEPS_RIGHT,1.958,2.000,0.200,0,14,323,0,337,0.9585
BACK_LEFT,1.979,2.000,0.143,0,7,330,0,337,0.9792
BACK_RIGHT,1.979,2.000,0.143,0,7,330,0,337,0.9792
